tokenizer,vocab_size,fertility,renyi_efficiency_a_1,renyi_efficiency_a_2,renyi_efficiency_a_2_5,unigram_entropy,compression_ratio_global_mean,bigrams_entropy,average_token_rank,corr_chunkability_rt_mean,corr_chunkability_rt_z,corr_chunkability_accuracy,encoding_length,avg_chars_per_token,n_tokens,u_mean,u_median,final_tokens_count,used_in_merges,leading_space_tokens_count,leading_space_tokens_share,AUC_zipf,SLOPE_zipf,POWER_LAW_MAE_zipf,macro_precision,macro_recall
mono_gold_130m_pre_lr1e-4_eng_latn_bpe_unscaled_114688,114691,0.20528685112827907,10.81685695833183,7.022491736963102,6.414313723820371,10.81685695833183,0.023489518656391154,16.886527507975824,3100.873489173791,0.08095183385026279,0.058235516832947073,0.17662960858856008,66.4868,4.941983178302123,664868,1.4322462632320363,1.0724685406894534,65293,49398,1,8.719079962682338e-06,60.36570172960086,-1.1981922674340317,0.14455587276317403,0.014020329477742727,0.01504489201650085
mono_gold_130m_pre_lr1e-4_eng_latn_bpe_unscaled_16384,16387,0.23570948318235233,10.516884931690619,7.353030967848581,6.7188755556357815,10.516884931690619,0.02045329740939217,16.92134932175614,1335.8535590353026,-0.35190713898451975,-0.3686971246784222,0.29347952233034025,76.1358,4.319667272474942,761358,2.762020978286917,2.5200131086725577,10715,5672,1,6.102398242509306e-05,61.502040495967314,-1.1509670343218616,0.26261555153733407,0.14515269168266012,0.15493812181509342
mono_gold_130m_pre_lr1e-4_eng_latn_bpe_unscaled_32768,32771,0.2170962341123668,10.760273674100137,7.166071297230774,6.5416604255026485,10.760273674100137,0.022188979564353808,16.97507033858674,2176.3707478247998,-0.3460834767728234,-0.3699562576661413,0.38928570307572574,70.2464,4.682545970678214,702464,2.1134331224943987,1.8140367475561487,19507,13264,1,3.0514784413048123e-05,61.14396446967614,-1.246688171553711,0.24150751735407577,0.06515592714330884,0.06855132249454016
mono_gold_130m_pre_lr1e-4_eng_latn_bpe_unscaled_49152,49155,0.21148626277362,10.808752734852117,7.099465686903694,6.481898399922323,10.808752734852117,0.02277689341672327,16.94685462665477,2586.5732932284254,-0.2336316160876114,-0.2666017216631609,0.37878951850309606,68.4538,4.802545881257923,684538,1.888795531850103,1.5757347432684685,28690,20465,1,2.0343810395687112e-05,60.82622588677725,-1.2491026795723816,0.1974129962231362,0.038387392488338855,0.04016015530211114
mono_gold_130m_pre_lr1e-4_eng_latn_bpe_unscaled_65536,65539,0.20874910068307084,10.820981342666277,7.06606861094676,6.452372018427431,10.820981342666277,0.023094952362754724,16.92401904637398,2817.004530483853,-0.12748979751991849,-0.15865145070774267,0.32363512538669015,67.5866,4.863265754939214,675866,1.7464570821941467,1.4525564433957583,37930,27609,1,1.5258090602541998e-05,60.63365992750164,-1.2322498207062447,0.1625889874417497,0.02591064736175146,0.027299199223489445
mono_gold_130m_pre_lr1e-4_eng_latn_bpe_unscaled_8192,8195,0.2855824338039065,9.754047102793066,7.622232640215591,7.048846101756614,9.754047102793066,0.01685262512547262,16.277667571139247,509.62428622821074,-0.23430625540288413,-0.24039681461115467,0.17076195969503288,91.731,3.5705380820533064,917310,3.9239551971993043,3.9515678025754375,6551,1644,1,0.00012202562538133008,60.71726576653849,-1.3014146429066127,0.6061715284108392,0.2153320391490738,0.2516783952115182
mono_gold_130m_pre_lr1e-4_eng_latn_bpe_unscaled_81920,81923,0.20708627581582606,10.821605694757924,7.045491996937926,6.434393859163839,10.821605694757924,0.023295838228485185,16.907279255456242,2955.8624613420893,-0.03782600143574746,-0.06766684744459697,0.2664514879420423,67.0626,4.900802147501251,670626,1.6196411077806565,1.3046358509458376,46992,34931,1,1.220658423153449e-05,60.50874850172,-1.216958583053668,0.1494043358044369,0.020086818194073715,0.021232710507158456
mono_gold_130m_pre_lr1e-4_eng_latn_bpe_unscaled_98304,98307,0.20605760945076781,10.820549238162922,7.032429033257835,6.422955321213546,10.820549238162922,0.023407018063018325,16.895735616759783,3042.9116502934003,0.02943051365161864,0.00532710176971298,0.21290168117090907,66.7348,4.924364517198603,667348,1.5168265011016988,1.1879421948835132,56113,42194,1,1.0172215610282075e-05,60.42701820009678,-1.2062891932123652,0.14556291963306736,0.01620426541562188,0.017350157728706624
mono_gold_130m_pre_lr1e-4_eng_latn_unigram_unscaled_114688,114692,0.22106859638932283,10.284353118876513,6.863593567335848,6.341169997700431,10.284353118876513,0.02192780644550957,16.47455633266069,2207.8137671180207,-0.017771199094308715,-0.038372882723645446,0.16720672430609226,71.5255,4.603778321821377,715255,1.1559620823751797,0.5151655879284189,77525,37167,1,8.719003940989781e-06,61.03712823024387,-1.2656612234163105,0.1573774413813713,0.3427575754074177,0.35282698374181026
mono_gold_130m_pre_lr1e-4_eng_latn_unigram_unscaled_16384,16388,0.24881100923738408,9.73430506093708,6.8221452448786986,6.332993373377558,9.73430506093708,0.019515639833008986,16.193186555562956,1004.2119393725732,-0.35399047659875815,-0.3758506658499425,0.3217179635087627,80.2739,4.119484902650956,802739,2.2310373715537093,1.8675773926238508,13103,3285,1,6.1020258725897e-05,61.934100344419655,-1.25220020708041,0.3214561810929346,0.44739660969944883,0.49300331634716493
mono_gold_130m_pre_lr1e-4_eng_latn_unigram_unscaled_32768,32772,0.23028156975802472,10.119300720176446,6.87463136096301,6.363639386280779,10.119300720176446,0.021083430557945742,16.431659434851515,1646.9623890685045,-0.243132513295226,-0.2652863451109358,0.34047272574683773,74.4491,4.434662745841921,744491,1.7892032232667001,1.391920036017952,24342,8430,1,3.0513853289393385e-05,61.55877997061648,-1.3025910798737521,0.2503707890023632,0.3689349556857443,0.3897516783952115
mono_gold_130m_pre_lr1e-4_eng_latn_unigram_unscaled_49152,49156,0.22526614223938046,10.21874225109167,6.872336437376968,6.35468490198712,10.21874225109167,0.02154287170586722,16.466006224559358,1935.475694187084,-0.13587624902463719,-0.1655115938525162,0.28867567008824346,72.855,4.525428751352558,728550,1.6372603464934226,1.2459744864325022,35365,13791,1,2.034339653348523e-05,61.316778002502886,-1.2922906215884729,0.1968305036880583,0.35030765764204247,0.3654857235298875
mono_gold_130m_pre_lr1e-4_eng_latn_unigram_unscaled_65536,65540,0.22318405019719192,10.25475029930391,6.869662746899026,6.349453495354941,10.25475029930391,0.021735960737617226,16.473789543872165,2070.516711658617,-0.09143516676169951,-0.11677383976995298,0.2456264314799369,72.1981,4.5636040097089845,721981,1.4945681918723699,1.08893431150423,46035,19505,1,1.5257857796765334e-05,61.18619140372914,-1.2811383222219297,0.1684186793646412,0.3454915396555775,0.35780150448920167
mono_gold_130m_pre_lr1e-4_eng_latn_unigram_unscaled_8192,8196,0.30741339477634955,8.697971217838088,6.52215453531688,6.091764694326141,8.697971217838088,0.01584483549562411,15.12405649704096,337.1114904337666,-0.27627804985744725,-0.28985274087695545,0.1959963455999126,98.5968,3.3514223168104245,985968,3.124530550434727,2.9640319503112904,7350,846,1,0.00012201073694485115,61.47229415470651,-1.3816072824918344,0.5196623463328734,0.4219831342859734,0.526773436868074
mono_gold_130m_pre_lr1e-4_eng_latn_unigram_unscaled_81920,81924,0.2221441214270364,10.271237740037279,6.8676148615628625,6.346172360621344,10.271237740037279,0.021829856891973982,16.475822787328934,2140.371625128538,-0.060854164757858834,-0.08068348157975985,0.20967308675742177,71.8657,4.583386764347095,718657,1.3523110931836868,0.874398165791144,56558,25366,1,1.2206435232654656e-05,61.114694454411264,-1.2738311794996022,0.16058205639792417,0.3433116480435092,0.3544042708080563
mono_gold_130m_pre_lr1e-4_eng_latn_unigram_unscaled_98304,98308,0.22148214782395997,10.28029407635759,6.86559575308051,6.343486876398119,10.28029407635759,0.02188935599527505,16.47577810538347,2182.7802859240196,-0.037692956475836745,-0.05864188000414031,0.18750940316973572,71.6554,4.595908630867774,716554,1.2482296466430636,0.6987971337230474,67036,31272,1,1.0172112137364202e-05,61.06709100173736,-1.269003382063562,0.1582683069062338,0.34257558074592775,0.3530696432904635
